,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
0,1,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-180,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
1,2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-004,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,10,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,5,2,5,0,0,4,7,57.1,3,9,8,1,3,8,24,0
2,3,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24-320,1999,6,6,529,5.9,2,0,2,0,2,2,0,0,1.8,0.3,1.0,1.2,24,44,28,0.34,0.00,0.34,0.00,0.00,0.31,0.16,0.48,0.05,0.21,12,8,2,4,6,5,9,55.6,4,5,0,5,6,18,5,0
3,4,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25-244,1999,3,2,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,6,6,2,1,6,11,54.5,5,1,1,0,0,9,4,1
4,5,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30-287,1993,3,1,132,1.5,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,3,2,10,0.00,0.00,0.00,0.00,0.00,0.33,0.35,0.68,0.33,0.68,8,5,3,2,3,7,10,70.0,3,3,1,2,1,9,4,0
5,6,Abel,es ESP,DF,Osasuna,es La Liga,24-042,2000,7,6,521,5.8,2,0,2,2,0,0,1,0,0.2,0.2,0.2,0.4,13,25,12,0.35,0.00,0.35,0.35,0.35,0.04,0.03,0.07,0.04,0.07,15,11,8,5,2,10,15,66.7,5,12,2,10,6,21,19,0
6,7,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-040,2002,4,3,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,5,4,3,2,0,1,1,100.0,0,2,0,2,0,5,4,0
7,8,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-114,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
8,9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-188,2003,6,6,476,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.6,1.9,16,16,39,0.19,0.00,0.19,0.19,0.19,0.24,0.12,0.36,0.24,0.36,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0
9,10,Abner,br BRA,DF,Lyon,fr Ligue 1,24-128,2000,6,6,457,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,12,19,33,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,12,8,4,6,2,9,13,69.2,4,8,1,7,5,17,12,0
