,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals Against,GA_p90,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheets%,PK Attempted,PK Allowed,PK Saved,PK Missed,PK Save %,FK Goals Allowed,Corner Kick Goals Allowed,Own Goals Allowed,Post Shot xG,PSxG_pSoT,PSxG-GA,PSxG-GA_p90,Launch Completed >40yd,Launch Attempted,Launck Comp%,Passes except GK,Throw-ins,Passes>40yd %,Pass Length,Goalkick Attempted,GK Launched>40yd %,GK Length,Crosses Faced,Crosses Stopped,Crosses Stop %,Sweep Def Outside Pen Area,Def OPA_p90,Sweep Avg Distance
0,1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23-281,2000,6,6,486,5.4,4,0.74,13,9,76.9,4,1,1,2,33.3,1,1,0,0,0.0,1,1,0,4.7,0.31,+0.7,+0.14,22,70,31.4,117,19,37.6,33.8,36,72.2,51.6,67,10,14.9,6,1.11,14.3
1,2,Alisson,br BRA,GK,Liverpool,eng Premier League,32-000,1992,5,5,450,5.0,2,0.40,13,11,84.6,4,0,1,3,60.0,0,0,0,0,,0,0,0,3.5,0.27,+1.5,+0.31,10,32,31.3,166,12,18.1,25.0,10,20.0,23.0,42,2,4.8,9,1.80,16.9
2,3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-218,1993,6,6,495,5.5,9,1.64,23,14,60.9,1,2,3,1,16.7,0,0,0,0,,0,1,0,8.0,0.35,-1.0,-0.18,34,76,44.7,151,23,33.8,30.7,48,52.1,40.9,79,3,3.8,6,1.09,14.9
3,4,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29-365,1994,3,3,270,3.0,6,2.00,23,17,73.9,2,0,1,0,0.0,0,0,0,0,,0,0,0,6.6,0.29,+0.6,+0.21,11,22,50.0,72,14,20.8,30.0,18,38.9,33.7,35,2,5.7,3,1.00,11.1
4,5,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-130,2002,3,3,270,3.0,4,1.33,8,4,50.0,2,0,1,1,33.3,0,0,0,0,,0,0,0,3.4,0.43,-0.6,-0.21,18,44,40.9,119,15,34.5,33.3,9,33.3,38.7,31,2,6.5,7,2.33,17.0
5,6,Emil Audero,it ITA,GK,Como,it Serie A,27-258,1997,3,3,270,3.0,6,2.00,12,6,66.7,2,1,0,0,0.0,2,2,0,0,0.0,0,1,0,4.2,0.23,-1.8,-0.60,9,36,25.0,112,8,30.4,31.9,6,33.3,32.7,42,4,9.5,1,0.33,10.1
6,7,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28-155,1996,4,4,360,4.0,3,0.75,11,8,72.7,1,3,0,1,25.0,0,0,0,0,,0,0,0,2.6,0.24,-0.4,-0.09,19,58,32.8,109,16,44.0,39.7,23,43.5,42.0,56,7,12.5,2,0.50,12.6
7,8,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-122,1990,5,5,450,5.0,15,3.00,32,17,56.3,1,0,4,0,0.0,1,1,0,0,0.0,0,3,0,15.1,0.48,+0.1,+0.02,22,66,33.3,141,24,39.0,36.0,28,39.3,37.1,76,3,3.9,6,1.20,15.6
8,9,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26-118,1998,2,2,180,2.0,4,2.00,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,0,0,0,3.5,0.33,-0.5,-0.26,17,39,43.6,52,11,48.1,38.7,18,77.8,55.0,30,7,23.3,0,0.00,10.1
9,10,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33-206,1991,6,6,540,6.0,13,2.17,28,16,64.3,2,0,4,2,33.3,4,3,0,1,0.0,0,0,1,9.1,0.23,-2.9,-0.48,51,124,41.1,175,16,49.1,38.5,47,80.9,57.5,82,4,4.9,2,0.33,10.9
10,11,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24-364,1999,6,6,540,6.0,6,1.00,30,24,83.3,2,2,2,2,33.3,1,1,0,0,0.0,0,1,0,8.6,0.28,+2.6,+0.43,17,41,41.5,180,32,16.7,26.2,37,29.7,29.7,73,9,12.3,4,0.67,10.7
11,12,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-038,2001,2,1,145,1.6,0,0.00,2,2,100.0,1,0,0,2,200.0,0,0,0,0,,0,0,0,0.8,0.41,+0.8,+0.51,4,9,44.4,25,4,28.0,30.6,3,66.7,49.0,16,1,6.3,0,0.00,6.5
12,13,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-188,1997,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0,,0,0,0,3.9,0.35,-1.1,-0.27,21,63,33.3,71,13,60.6,45.5,31,64.5,49.4,57,1,1.8,1,0.25,10.8
13,14,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-093,2000,5,5,450,5.0,12,2.40,23,13,47.8,1,1,3,0,0.0,0,0,0,0,,0,2,2,8.2,0.38,-1.8,-0.36,14,50,28.0,111,16,27.9,32.9,31,61.3,46.5,38,3,7.9,9,1.80,18.5
