,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Shot Creating Action,SCA_p90,Shots Shots Liveball Pass,Shots from Deadball Pass,Shots from Take-Ons,Shots from Shots,Shots from Fouls,Shots from Defense,Goal Creating Action,GCA_p90,Goals from Liveball Pass,Goals from Deadball Pass,Goals from Take-Ons,Goals from Shots,Goals from Fouls,Goals from Defense,Pass Completed,Pass Attempted,Pass Comp%,Total Pass Dist,Prog Pass Dist,Short Comp,Short Attempt,Short Comp%,Med Comp,Med Attempt,Med Comp%,Long Comp,Long Attempt,Long Comp%,Expected Assisted Goal xAG,Expected xA,A-xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
0,1,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-180,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,0
1,2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-004,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,10,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,204,229,89.1,3740,1298,69,74,93.2,121,128,94.5,12,23,52.2,0.0,0.0,0.0,1,14,0,0,10
2,3,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24-320,1999,6,6,529,5.9,2,0,2,0,2,2,0,0,1.8,0.3,1.0,1.2,24,44,28,0.34,0.00,0.34,0.00,0.00,0.31,0.16,0.48,0.05,0.21,17,2.89,14,1,0,1,1,0,0,0.00,0,0,0,0,0,0,298,371,80.3,4225,1228,165,185,89.2,109,127,85.8,10,35,28.6,1.0,0.8,-1.0,11,36,12,0,44
3,4,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25-244,1999,3,2,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,62,74,83.8,1004,368,27,30,90.0,32,38,84.2,1,3,33.3,0.0,0.0,0.0,0,2,0,0,6
4,5,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30-287,1993,3,1,132,1.5,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,3,2,10,0.00,0.00,0.00,0.00,0.00,0.33,0.35,0.68,0.33,0.68,5,3.41,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,42,57,73.7,557,196,24,30,80.0,14,17,82.4,0,3,0.0,0.5,0.0,-0.5,1,3,0,0,2
5,6,Abel,es ESP,DF,Osasuna,es La Liga,24-042,2000,7,6,521,5.8,2,0,2,2,0,0,1,0,0.2,0.2,0.2,0.4,13,25,12,0.35,0.00,0.35,0.35,0.35,0.04,0.03,0.07,0.04,0.07,8,1.38,5,0,1,0,1,1,2,0.35,0,0,1,0,0,1,179,256,69.9,3114,1399,92,102,90.2,67,95,70.5,16,46,34.8,0.2,0.2,-0.2,3,17,3,3,25
6,7,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-040,2002,4,3,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,3,1.21,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,30,48,62.5,578,223,11,19,57.9,9,14,64.3,7,9,77.8,0.0,0.1,0.0,1,6,2,0,6
7,8,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-114,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,0
8,9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-188,2003,6,6,476,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.6,1.9,16,16,39,0.19,0.00,0.19,0.19,0.19,0.24,0.12,0.36,0.24,0.36,11,2.08,8,0,2,1,0,0,0,0.00,0,0,0,0,0,0,62,89,69.7,993,158,28,36,77.8,28,38,73.7,3,5,60.0,0.6,0.5,-0.6,5,5,4,0,16
9,10,Abner,br BRA,DF,Lyon,fr Ligue 1,24-128,2000,6,6,457,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,12,19,33,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,12,2.36,9,3,0,0,0,0,0,0.00,0,0,0,0,0,0,214,270,79.3,3049,1438,127,141,90.1,62,79,78.5,15,26,57.7,0.4,1.4,-0.4,7,17,3,1,19
